frame,time_s,pixel_x,pixel_y,world_x_mm,world_y_mm,straight_mm,cumulative_mm
138,4.600000,727.422,216.065,229.154,-67.915,216.610,225.616
139,4.633333,718.849,209.568,224.438,-73.730,223.762,233.103
140,4.666667,710.309,203.332,219.674,-79.406,230.825,240.513
141,4.700000,701.773,197.127,214.842,-85.140,237.989,248.012
142,4.733333,693.093,190.893,209.855,-90.992,245.344,255.700
143,4.766667,684.229,184.543,204.683,-97.048,252.981,263.664
144,4.800000,675.212,178.096,199.338,-103.295,260.882,271.885
145,4.833333,666.163,171.572,193.884,-109.717,269.008,280.311
146,4.866667,657.228,165.146,188.411,-116.147,277.168,288.755
147,4.900000,648.591,158.902,183.034,-122.495,285.228,297.074
148,4.933333,640.321,152.866,177.800,-128.723,293.131,305.209
149,4.966667,632.348,146.956,172.672,-134.908,300.961,313.244
150,5.000000,624.481,141.107,167.534,-141.120,308.830,321.306
151,5.033333,616.476,135.177,162.227,-147.517,316.950,329.617
152,5.066667,608.295,129.158,156.721,-154.116,325.351,338.212
153,5.100000,600.058,123.151,151.093,-160.813,333.907,346.959
154,5.133333,591.962,117.329,145.479,-167.414,342.381,355.625
155,5.166667,584.174,111.660,139.989,-173.935,350.734,364.149
156,5.200000,576.844,106.353,134.747,-180.134,358.694,372.268
157,5.233333,569.808,101.144,129.632,-186.294,366.565,380.274
158,5.266667,562.933,95.995,124.557,-192.461,374.428,388.261
159,5.300000,556.380,91.007,119.645,-198.509,382.111,396.053
160,5.333333,550.330,86.387,115.048,-204.183,389.318,403.355
161,5.366667,544.845,82.026,110.811,-209.581,396.109,410.217
162,5.400000,539.990,78.189,107.021,-214.387,402.167,416.338
163,5.433333,535.589,74.629,103.541,-218.880,407.801,422.021
164,5.466667,531.368,71.102,100.158,-223.359,413.374,427.634
165,5.500000,527.184,67.460,96.755,-228.010,419.107,433.397
166,5.533333,522.920,63.619,93.235,-232.946,425.145,439.459
167,5.566667,518.571,59.489,89.580,-238.281,431.597,445.926
168,5.600000,514.302,55.306,85.938,-243.726,438.137,452.477
169,5.633333,510.296,51.225,82.462,-249.075,444.511,458.856
170,5.666667,506.631,47.332,79.228,-254.210,450.577,464.925
171,5.700000,503.376,43.707,76.304,-259.015,456.201,470.550
172,5.733333,500.541,40.434,73.719,-263.377,461.272,475.620
173,5.766667,498.107,37.401,71.449,-267.424,465.910,480.260
174,5.800000,472.356,94.932,61.164,-202.372,417.275,546.120
175,5.833333,447.109,153.125,51.959,-140.488,375.514,608.685
176,5.866667,422.300,211.924,43.703,-81.681,341.385,668.068
177,5.900000,397.921,271.248,36.308,-25.863,315.600,724.374
178,5.933333,373.972,331.147,29.719,27.183,298.555,777.828
179,5.966667,373.961,331.191,29.718,27.221,298.542,777.865
180,6.000000,373.952,331.217,29.717,27.242,298.536,777.887
181,6.033333,373.943,331.224,29.712,27.249,298.538,777.895
182,6.066667,373.937,331.232,29.709,27.256,298.538,777.903
183,6.100000,373.931,331.224,29.703,27.249,298.546,777.912
184,6.133333,373.929,331.216,29.701,27.243,298.550,777.918
185,6.166667,373.932,331.213,29.703,27.240,298.550,777.922
186,6.200000,373.936,331.221,29.707,27.246,298.544,777.929
187,6.233333,373.937,331.208,29.705,27.235,298.549,777.940
188,6.266667,373.937,331.196,29.703,27.225,298.555,777.951
189,6.300000,373.931,331.175,29.696,27.207,298.568,777.970
190,6.333333,373.928,331.153,29.691,27.188,298.579,777.989
191,6.366667,373.933,331.139,29.692,27.176,298.583,778.001
192,6.400000,373.953,331.157,29.708,27.191,298.562,778.023
193,6.433333,373.951,331.133,29.702,27.171,298.575,778.044
194,6.466667,373.947,331.099,29.695,27.142,298.592,778.074
195,6.500000,373.917,330.999,29.659,27.057,298.656,778.166
196,6.533333,373.897,330.895,29.630,26.968,298.715,778.260
197,6.566667,373.898,330.854,29.624,26.933,298.733,778.295
198,6.600000,373.934,330.896,29.654,26.968,298.692,778.342
199,6.633333,374.034,330.992,29.735,27.050,298.587,778.457
200,6.666667,374.171,331.162,29.852,27.193,298.427,778.642
201,6.700000,374.223,331.266,29.903,27.282,298.348,778.744
202,6.733333,374.227,331.284,29.908,27.297,298.337,778.760
203,6.766667,374.275,331.306,29.943,27.314,298.299,778.799
204,6.800000,374.332,331.354,29.989,27.356,298.242,778.860
205,6.833333,374.358,331.358,30.007,27.358,298.224,778.878
206,6.866667,374.347,331.372,30.002,27.370,298.224,778.892
207,6.900000,374.308,331.346,29.972,27.348,298.260,778.929
208,6.933333,374.263,331.314,29.937,27.322,298.302,778.973
209,6.966667,374.224,331.273,29.905,27.288,298.344,779.019
210,7.000000,374.202,331.280,29.891,27.294,298.354,779.034
211,7.033333,374.248,331.286,29.922,27.298,298.324,779.066
212,7.066667,374.294,331.279,29.952,27.292,298.299,779.096
213,7.100000,374.301,331.266,29.954,27.280,298.300,779.107
214,7.133333,374.299,331.275,29.955,27.288,298.297,779.115
215,7.166667,374.286,331.309,29.951,27.317,298.290,779.144
216,7.200000,374.294,331.418,29.974,27.411,298.236,779.240
217,7.233333,374.309,331.554,30.005,27.526,298.166,779.360
218,7.266667,374.270,331.561,29.980,27.533,298.186,779.385
219,7.300000,374.169,331.550,29.912,27.524,298.253,779.454
220,7.333333,374.184,331.600,29.930,27.567,298.221,779.500
221,7.366667,374.481,331.722,30.145,27.668,297.985,779.737
222,7.400000,374.917,331.903,30.460,27.816,297.637,780.086
223,7.433333,375.308,332.114,30.751,27.992,297.303,780.426
224,7.466667,375.484,332.212,30.882,28.074,297.152,780.580
225,7.500000,375.549,332.143,30.914,28.014,297.143,780.648
226,7.533333,375.480,332.002,30.846,27.894,297.249,780.785
227,7.566667,375.363,331.877,30.750,27.789,297.376,780.928
228,7.600000,375.293,331.824,30.695,27.744,297.443,780.998
229,7.633333,375.361,331.778,30.733,27.705,297.421,781.053
230,7.666667,375.436,331.795,30.785,27.719,297.368,781.106
231,7.700000,375.470,331.834,30.814,27.751,297.330,781.149
232,7.733333,375.532,331.875,30.861,27.786,297.273,781.208
